"movie_name" "image_name" "watson_object_1" "watson_object_2" "watson_object_3" "watson_face" "microsoft_emotion_1" "microsoft_emotion_2" "microsoft_emotion_3" "genre"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-45-seconds.jpeg" "black color" "device" "concert band" 1 "surprise" "fear" "happiness" "Nope"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-40-seconds.jpeg" "ultramarine color" "person" "anchorperson" 1 "happiness" "neutral" "surprise" "Musical"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-80-seconds.jpeg" "ultramarine color" "person" "blue color" 1 "surprise" "neutral" "happiness" "Drama"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-50-seconds.jpeg" "blue color" "ultramarine color" "device" 1 "surprise" "neutral" "happiness" "Sci-Fi"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-60-seconds.jpeg" "olive green color" "table" "furniture" 1 "surprise" "neutral" "happiness" "Family"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-105-seconds.jpeg" "purplish blue color" "ultramarine color" "auditorium" 1 "surprise" "neutral" "happiness" "Drama"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-10-seconds.jpeg" "coal black color" "black color" "person" 1 "happiness" "neutral" "anger" "Drama"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-130-seconds.jpeg" "coal black color" "person" "senior citizen " 1 "happiness" "neutral" "anger" "Drama"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-125-seconds.jpeg" "ultramarine color" "weld" "joint" 1 "happiness" "neutral" "anger" "Nope"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-120-seconds.jpeg" "coal black color" "black color" "person" 1 "neutral" "surprise" "happiness" "Drama"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-95-seconds.jpeg" "device" "purplish blue color" "digital clock" 1 "neutral" "surprise" "anger" "Nope"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-20-seconds.jpeg" "Indian red color" "nightclub" "shebeen" 1 "happiness" "surprise" "neutral" "Drama"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-35-seconds.jpeg" "coal black color" "black color" "person" 1 "happiness" "surprise" "neutral" "Family"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-30-seconds.jpeg" "coal black color" "person" "woman" 1 "neutral" "contempt" "anger" "Nope"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-120-seconds.jpeg" "light brown color" "person" "people" 1 "neutral" "surprise" "sadness" "Drama"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-25-seconds.jpeg" "coal black color" "person" "female" 1 "neutral" "sadness" "surprise" "Romance"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-50-seconds.jpeg" "person" "ivory color" "female" 1 "happiness" "sadness" "neutral" "Romance"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-110-seconds.jpeg" "maroon color" "sport" "reddish orange color" 1 "happiness" "sadness" "neutral" "Sport"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-100-seconds.jpeg" "coal black color" "person" "female" 1 "happiness" "neutral" "sadness" "Romance"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-135-seconds.jpeg" "coal black color" "maroon color" "device" 1 "happiness" "neutral" "sadness" "Nope"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-40-seconds.jpeg" "coal black color" "Indian red color" "person" 1 "neutral" "surprise" "happiness" "Drama"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-75-seconds.jpeg" "coal black color" "cavern" "nature" 1 "happiness" "surprise" "neutral" "Nope"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-65-seconds.jpeg" "coal black color" "black color" "vigil light" 1 "happiness" "surprise" "neutral" "Drama"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-60-seconds.jpeg" "coal black color" "vigil light" "lamp" 1 "happiness" "surprise" "neutral" "Drama"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-85-seconds.jpeg" "black color" "coal black color" "vigil light" 1 "happiness" "surprise" "neutral" "Nope"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-70-seconds.jpeg" "coal black color" "woman" "person" 1 "neutral" "sadness" "surprise" "Drama"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-15-seconds.jpeg" "reddish orange color" "person" "sport" 1 "neutral" "sadness" "surprise" "Sport"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-10-seconds.jpeg" "billboard" "gray color" "claret red color" 1 "neutral" "sadness" "surprise" "Drama"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-80-seconds.jpeg" "coal black color" "woman" "person" 1 "surprise" "sadness" "fear" "Drama"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-95-seconds.jpeg" "coal black color" "person" "black color" 1 "surprise" "sadness" "fear" "Romance"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-5-seconds.jpeg" "coal black color" "black color" "purplish blue color" 1 "surprise" "sadness" "fear" "Nope"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-115-seconds.jpeg" "maroon color" "sport" "court game" 1 "surprise" "fear" "happiness" "Sport"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-45-seconds.jpeg" "coal black color" "black color" "room" 1 "surprise" "fear" "happiness" "Nope"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-130-seconds.jpeg" "coal black color" "person" "people" 1 "neutral" "happiness" "surprise" "Nope"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-55-seconds.jpeg" "coal black color" "charcoal color" "person" 1 "happiness" "neutral" "contempt" "Drama"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-125-seconds.jpeg" "pink color" "woman" "person" 1 "neutral" "happiness" "surprise" "Drama"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-90-seconds.jpeg" "Indian red color" "woman" "coal black color" 1 "neutral" "happiness" "contempt" "Drama"
"brotherlylove-2015" "brotherlylove-2015-thumbnail-at-105-seconds.jpeg" "basketball court" "coal black color" "black color" 1 "neutral" "happiness" "contempt" "Sport"
